Transaction_ID,Customer_ID,Card_Number,Customer_Age,Gender,Merchant_Category,Amount,Transaction_Date,Transaction_Time,City,State,Country,Device_Type,Card_Present,CVV_Matched,International_Transaction,Daily_Transaction_Count,Previous_Fraud_Count,Class
TXN100000,CUST1655,1043321819600133,50,Male,ATM,29865.71,2026-11-29,22:34:26,Bengaluru,Karnataka,India,Tablet,No,Yes,Yes,14,2,1
TXN100001,CUST1285,2351161559407816,23,Female,E-Commerce,132823.49,2026-07-05,18:12:45,Coimbatore,Tamil Nadu,India,Mobile,Yes,No,Yes,8,0,1
TXN100002,CUST1390,4752553419283276,35,Male,Travel,126435.65,2026-01-29,07:52:02,Kochi,Kerala,India,Tablet,No,Yes,Yes,19,5,1
TXN100003,CUST1323,3767242388496965,32,Male,ATM,74052.7,2026-01-25,03:09:40,Madurai,Tamil Nadu,India,Tablet,Yes,No,No,20,3,1
TXN100004,CUST1542,4801845146270482,50,Male,Restaurant,126258.32,2026-09-17,19:12:09,Kochi,Kerala,India,Laptop,Yes,No,No,1,0,0
TXN100005,CUST1315,3039117182278248,56,Female,Fashion,139340.58,2026-12-20,06:45:19,Mumbai,Maharashtra,India,POS,No,No,Yes,8,1,1
TXN100006,CUST1066,5098393010310518,33,Female,Entertainment,32174.81,2026-03-09,23:59:56,Jaipur,Rajasthan,India,Tablet,Yes,No,No,7,0,0
TXN100007,CUST1442,5667010651333872,45,Male,Restaurant,69421.08,2026-02-08,14:51:55,Pune,Maharashtra,India,Mobile,Yes,Yes,Yes,8,1,0
TXN100008,CUST1493,3602606474687234,31,Male,E-Commerce,110373.79,2026-02-01,23:20:03,Chennai,Tamil Nadu,India,Tablet,Yes,Yes,Yes,6,0,0
TXN100009,CUST1692,3619399091699854,31,Female,Fashion,39878.9,2026-03-09,21:41:19,Delhi,Delhi,India,POS,Yes,Yes,No,20,4,0
TXN100010,CUST1076,8384251354278498,18,Female,Fuel,140842.55,2026-03-10,08:07:56,Coimbatore,Tamil Nadu,India,Laptop,No,No,Yes,11,1,1
TXN100011,CUST1704,4874016400524278,63,Female,ATM,1499.97,2026-02-08,22:57:09,Pune,Maharashtra,India,Mobile,No,Yes,No,5,0,0
TXN100012,CUST1041,5331586923226025,68,Female,Fashion,40057.52,2026-12-26,03:24:55,Chennai,Tamil Nadu,India,Tablet,Yes,Yes,No,12,2,0
TXN100013,CUST1234,3036541458685014,29,Female,Grocery,16304.96,2026-08-11,11:46:50,Kochi,Kerala,India,Tablet,Yes,No,Yes,9,0,0
TXN100014,CUST1002,8835615951484656,62,Female,ATM,19136.81,2026-08-04,21:24:43,Madurai,Tamil Nadu,India,POS,No,Yes,No,10,1,0
TXN100015,CUST1594,9577738721489513,61,Female,Fashion,120994.11,2026-03-17,00:02:15,Delhi,Delhi,India,Mobile,No,No,Yes,13,3,1
TXN100016,CUST1410,3201632870831727,60,Female,Entertainment,91917.22,2026-09-16,13:53:58,Pune,Maharashtra,India,Tablet,Yes,No,No,9,1,0
TXN100017,CUST1284,8734714345581223,42,Male,Fashion,9681.12,2026-07-28,10:34:29,Mumbai,Maharashtra,India,Mobile,Yes,No,No,19,5,1
TXN100018,CUST1784,9670546688937346,49,Male,Healthcare,50452.63,2026-12-14,12:46:10,Delhi,Delhi,India,Laptop,Yes,No,Yes,3,5,1
TXN100019,CUST1439,2720465375564641,48,Male,ATM,7860.24,2026-06-29,07:41:04,Chennai,Tamil Nadu,India,Mobile,Yes,Yes,Yes,20,1,0
TXN100020,CUST1485,1937452991241904,54,Female,Healthcare,141223.52,2026-04-12,02:37:44,Bengaluru,Karnataka,India,Mobile,No,Yes,Yes,12,4,1
TXN100021,CUST1439,5185067165726284,57,Female,Entertainment,65364.4,2026-10-31,08:20:54,Bengaluru,Karnataka,India,Mobile,No,No,Yes,15,4,1
TXN100022,CUST1625,6507527354549480,51,Male,Fuel,36241.34,2026-07-28,15:35:48,Bengaluru,Karnataka,India,Tablet,No,No,Yes,3,2,1
TXN100023,CUST1227,6349578856855744,34,Male,Fuel,108206.59,2026-06-11,03:47:34,Madurai,Tamil Nadu,India,Laptop,Yes,No,No,19,4,1
TXN100024,CUST1612,4134352408240084,62,Male,Entertainment,15433.02,2026-01-07,18:18:30,Delhi,Delhi,India,Tablet,No,Yes,Yes,9,3,0
TXN100025,CUST1067,6719022941318699,68,Male,ATM,57087.69,2026-08-15,09:55:37,Mumbai,Maharashtra,India,POS,Yes,Yes,Yes,7,2,0
TXN100026,CUST1161,3281206797403447,22,Male,Restaurant,118184.81,2026-11-17,18:42:51,Bengaluru,Karnataka,India,Tablet,Yes,Yes,Yes,9,1,0
TXN100027,CUST1170,4994717464887719,20,Female,Travel,90576.86,2026-01-14,02:14:43,Jaipur,Rajasthan,India,Mobile,No,Yes,Yes,16,4,1
TXN100028,CUST1668,7429671756551256,62,Female,Restaurant,99404.4,2026-07-25,17:02:29,Coimbatore,Tamil Nadu,India,POS,No,No,Yes,13,4,1
TXN100029,CUST1002,8760385977034824,46,Female,Fuel,4378.97,2026-11-19,19:51:15,Madurai,Tamil Nadu,India,POS,Yes,No,Yes,8,0,0
TXN100030,CUST1121,2748467737826398,65,Male,Fuel,41473.3,2026-08-01,10:59:50,Pune,Maharashtra,India,POS,Yes,No,No,19,4,0
TXN100031,CUST1502,2787558867533963,67,Female,Grocery,47760.54,2026-08-31,22:58:51,Mumbai,Maharashtra,India,Tablet,Yes,No,Yes,5,4,1
TXN100032,CUST1605,5171870262174596,59,Male,Travel,127858.58,2026-10-01,12:20:40,Delhi,Delhi,India,Mobile,Yes,Yes,No,8,5,0
TXN100033,CUST1101,1724005045562386,54,Male,Electronics,26301.65,2026-11-09,12:39:43,Bengaluru,Karnataka,India,Tablet,Yes,Yes,No,9,3,0
TXN100034,CUST1010,7482175946474367,24,Male,Healthcare,85809.81,2026-10-22,09:44:18,Chennai,Tamil Nadu,India,Tablet,No,Yes,Yes,20,5,1
TXN100035,CUST1509,4395339421047095,64,Male,Fuel,136448.69,2026-06-17,23:26:11,Bengaluru,Karnataka,India,Laptop,No,No,Yes,9,3,1
TXN100036,CUST1303,5171236851604817,41,Female,E-Commerce,57184.77,2026-11-23,11:06:43,Bengaluru,Karnataka,India,Tablet,Yes,No,Yes,3,5,1
TXN100037,CUST1476,4612004711382675,60,Female,E-Commerce,111353.24,2026-03-21,13:41:06,Delhi,Delhi,India,Tablet,No,Yes,No,7,3,1
TXN100038,CUST1456,3515850643171390,21,Female,Fashion,148323.69,2026-10-17,06:04:53,Pune,Maharashtra,India,Laptop,Yes,Yes,No,5,4,1
TXN100039,CUST1149,2842102053950240,26,Female,ATM,17091.71,2026-02-02,15:28:49,Kochi,Kerala,India,Mobile,No,Yes,Yes,17,2,1
