Transaction_ID,Customer_ID,Card_Number,Customer_Age,Gender,Merchant_Category,Amount,Transaction_Date,Transaction_Time,City,State,Country,Device_Type,Card_Present,CVV_Matched,International_Transaction,Daily_Transaction_Count,Previous_Fraud_Count
TXN102000,CUST1019,5203881937684184,49,Male,Restaurant,57331.18,2026-03-10,05:01:04,Hyderabad,Telangana,India,Laptop,Yes,Yes,No,9,0
TXN102001,CUST1100,1272836030876477,20,Male,Healthcare,99226.97,2026-09-05,13:06:34,Bengaluru,Karnataka,India,Tablet,No,Yes,No,1,3
TXN102002,CUST1432,7162172048886804,24,Female,E-Commerce,33394.43,2026-04-26,21:10:24,Hyderabad,Telangana,India,POS,No,No,No,15,2
TXN102003,CUST1112,9916053906490970,32,Female,Electronics,50477.15,2026-12-05,03:45:38,Delhi,Delhi,India,Mobile,Yes,Yes,No,18,4
TXN102004,CUST1103,3682967074215319,33,Female,Electronics,117154.78,2026-06-24,05:25:50,Chennai,Tamil Nadu,India,Laptop,Yes,Yes,No,19,5
TXN102005,CUST1775,0887548029335838,70,Female,Fashion,102382.32,2026-11-15,20:05:00,Mumbai,Maharashtra,India,POS,No,Yes,No,3,3
TXN102006,CUST1319,5469351021401283,30,Male,E-Commerce,49596.34,2026-09-20,20:37:45,Delhi,Delhi,India,Mobile,Yes,No,No,4,3
TXN102007,CUST1505,1703056870941246,18,Female,Fuel,144478.29,2026-05-10,17:51:14,Pune,Maharashtra,India,POS,Yes,Yes,No,13,4
TXN102008,CUST1266,1876776006434597,61,Male,Fuel,95875.96,2026-08-30,07:02:14,Bengaluru,Karnataka,India,Laptop,No,No,No,11,3
TXN102009,CUST1271,5104848094731815,42,Male,Travel,126776.57,2026-03-25,15:03:29,Jaipur,Rajasthan,India,POS,No,No,No,4,0
TXN102010,CUST1111,0797647545657289,68,Female,Electronics,25004.59,2026-12-16,18:13:18,Pune,Maharashtra,India,POS,No,Yes,Yes,19,0
TXN102011,CUST1624,8468560669926138,26,Female,ATM,71479.86,2026-11-16,14:56:28,Delhi,Delhi,India,Tablet,No,No,Yes,7,4
TXN102012,CUST1579,6263779271107351,26,Female,Electronics,28155.33,2026-01-17,13:34:57,Madurai,Tamil Nadu,India,POS,Yes,Yes,Yes,7,5
TXN102013,CUST1795,3023993446060694,63,Male,Grocery,59854.06,2026-06-26,20:08:12,Kochi,Kerala,India,Tablet,No,No,Yes,20,2
TXN102014,CUST1093,2853700644885487,67,Female,Fashion,16039.74,2026-10-24,20:48:48,Pune,Maharashtra,India,Mobile,No,Yes,No,12,2
TXN102015,CUST1147,8053764255078688,58,Female,ATM,59563.27,2026-12-14,05:02:14,Jaipur,Rajasthan,India,Laptop,Yes,Yes,Yes,3,3
TXN102016,CUST1036,1958663992879872,51,Female,Fashion,123963.64,2026-12-25,02:16:51,Madurai,Tamil Nadu,India,POS,No,No,Yes,19,0
TXN102017,CUST1486,9644160332888070,19,Female,Fuel,105252.49,2026-04-02,16:31:19,Kochi,Kerala,India,Mobile,Yes,Yes,Yes,6,5
TXN102018,CUST1721,0175454164879210,35,Female,Healthcare,19784.63,2026-08-27,10:41:47,Chennai,Tamil Nadu,India,Mobile,No,Yes,No,19,3
TXN102019,CUST1259,4203607854833095,50,Female,Electronics,135317.93,2026-12-19,17:13:25,Pune,Maharashtra,India,Mobile,No,Yes,Yes,9,2
TXN102020,CUST1457,9232671485819701,41,Male,Fuel,84846.17,2026-09-12,19:54:30,Madurai,Tamil Nadu,India,Mobile,Yes,No,Yes,19,1
TXN102021,CUST1048,1828523329704937,55,Female,ATM,24270.72,2026-02-22,10:34:40,Kochi,Kerala,India,POS,Yes,Yes,No,7,4
TXN102022,CUST1662,7149207574142487,70,Male,E-Commerce,61836.21,2026-07-17,04:22:38,Coimbatore,Tamil Nadu,India,Laptop,Yes,Yes,No,19,3
TXN102023,CUST1746,7367724434354978,49,Male,E-Commerce,146174.21,2026-07-12,11:30:07,Kochi,Kerala,India,Tablet,No,Yes,Yes,6,4
TXN102024,CUST1586,0348042479600094,18,Male,Healthcare,104865.31,2026-09-05,07:30:26,Madurai,Tamil Nadu,India,POS,Yes,No,No,5,1
TXN102025,CUST1375,4920369309140152,47,Male,Fuel,141636.2,2026-02-28,14:11:52,Madurai,Tamil Nadu,India,Tablet,No,Yes,No,16,2
TXN102026,CUST1432,9001842933598474,28,Male,E-Commerce,80828.66,2026-05-05,20:48:20,Jaipur,Rajasthan,India,Tablet,No,No,No,3,2
TXN102027,CUST1256,9022624736500329,54,Male,E-Commerce,5738.44,2026-11-22,01:27:19,Delhi,Delhi,India,Tablet,Yes,No,No,5,3
TXN102028,CUST1516,7355404231697920,65,Female,Entertainment,142557.17,2026-05-18,18:14:39,Bengaluru,Karnataka,India,POS,Yes,No,Yes,9,2
TXN102029,CUST1218,9252878357338133,19,Female,Fashion,41621.27,2026-05-08,20:57:53,Bengaluru,Karnataka,India,Mobile,Yes,Yes,No,10,0
TXN102030,CUST1184,2474098537203350,38,Male,Healthcare,7277.25,2026-05-08,04:20:06,Chennai,Tamil Nadu,India,Tablet,Yes,No,No,11,4
TXN102031,CUST1511,0940422456411992,41,Female,Fuel,19782.81,2026-04-30,16:51:52,Chennai,Tamil Nadu,India,Tablet,Yes,Yes,Yes,12,0
TXN102032,CUST1358,3494197157557166,69,Male,Electronics,143820.92,2026-11-20,20:08:17,Mumbai,Maharashtra,India,Laptop,Yes,No,Yes,14,1
TXN102033,CUST1077,8563520076150420,38,Female,ATM,121310.92,2026-12-08,20:26:38,Delhi,Delhi,India,Tablet,Yes,No,Yes,7,5
TXN102034,CUST1433,0809010146103927,50,Male,ATM,89104.83,2026-01-20,08:51:57,Mumbai,Maharashtra,India,Mobile,No,Yes,Yes,14,4
TXN102035,CUST1485,8518569050965688,66,Male,Healthcare,71821.01,2026-09-26,01:00:30,Madurai,Tamil Nadu,India,Tablet,Yes,Yes,Yes,10,3
TXN102036,CUST1159,3735640783083069,46,Female,Fuel,96249.41,2026-06-27,09:38:35,Bengaluru,Karnataka,India,Tablet,No,Yes,No,13,3
TXN102037,CUST1270,9066886751857116,37,Female,Healthcare,6862.8,2026-12-09,19:50:23,Mumbai,Maharashtra,India,Laptop,No,Yes,Yes,17,0
TXN102038,CUST1641,7392002585653377,48,Male,Grocery,101567.18,2026-02-20,12:31:44,Pune,Maharashtra,India,Tablet,Yes,Yes,No,4,2
TXN102039,CUST1290,8720124025455005,36,Male,ATM,149029.5,2026-01-19,21:36:37,Pune,Maharashtra,India,Laptop,No,No,No,8,4
TXN102040,CUST1523,7246163034383000,55,Male,Restaurant,33549.07,2026-03-22,19:19:39,Bengaluru,Karnataka,India,Mobile,No,No,Yes,15,4
TXN102041,CUST1580,6546628973518962,27,Female,Electronics,67878.63,2026-06-17,20:25:03,Chennai,Tamil Nadu,India,Laptop,Yes,Yes,Yes,5,1
TXN102042,CUST1294,0567712515890418,58,Male,ATM,132390.13,2026-01-07,10:04:26,Mumbai,Maharashtra,India,Tablet,Yes,Yes,Yes,7,4
TXN102043,CUST1131,7884479098636152,48,Female,E-Commerce,48477.71,2026-10-10,09:19:19,Madurai,Tamil Nadu,India,Mobile,Yes,Yes,No,18,1
TXN102044,CUST1258,8863137371450311,52,Male,Electronics,57069.84,2026-07-14,20:37:51,Coimbatore,Tamil Nadu,India,POS,Yes,Yes,No,1,3
TXN102045,CUST1088,0471891199256924,64,Female,Healthcare,84051.83,2026-12-09,06:18:04,Chennai,Tamil Nadu,India,Laptop,No,Yes,No,3,1
TXN102046,CUST1774,1811814051325179,60,Male,Restaurant,46807.28,2026-01-20,16:23:26,Chennai,Tamil Nadu,India,POS,Yes,No,No,4,2
TXN102047,CUST1677,8783103145645722,47,Female,Entertainment,89966.54,2026-01-28,14:46:17,Chennai,Tamil Nadu,India,Laptop,Yes,No,No,9,4
